gid,move_ply,move_uci,move_time,player_white,player_clock_time,opponent_clock_time,board_position,castling_rights,en_passant_targets,halfmove_clock,n_possible_moves,n_pieces,player_in_check,partition
202201093131406,33,b1d2,1.0,True,25.0,30.0,4rrk1/5ppp/p1pb4/1p1n4/3P2b1/1BPQB1Pq/PP3P1P/RN2R1K1,,,5,33,27,False,202201
202201093171137,33,b1d2,1.0,True,165.0,168.0,4rrk1/5ppp/p1pb4/1p1n4/3P2b1/1BPQB1Pq/PP3P1P/RN2R1K1,,,5,33,27,False,202201
202201093563392,33,b3d5,3.0,True,151.0,165.0,4rrk1/5ppp/p1pb4/1p1n4/3P2b1/1BPQB1Pq/PP3P1P/RN2R1K1,,,5,33,27,False,202201
202201093776328,33,b1d2,2.0,True,164.0,143.0,4rrk1/5ppp/p1pb4/1p1n4/3P2b1/1BPQB1Pq/PP3P1P/RN2R1K1,,,5,33,27,False,202201
202201070020563,33,b1d2,1.0,True,29.0,30.0,4rrk1/5ppp/p1pb4/1p1n4/3P2b1/1BPQB1Pq/PP3P1P/RN2R1K1,,,5,33,27,False,202201
202201070060327,33,b3d5,5.0,True,123.0,145.0,4rrk1/5ppp/p1pb4/1p1n4/3P2b1/1BPQB1Pq/PP3P1P/RN2R1K1,,,5,33,27,False,202201
202201070099617,33,b1d2,0.0,True,27.0,30.0,4rrk1/5ppp/p1pb4/1p1n4/3P2b1/1BPQB1Pq/PP3P1P/RN2R1K1,,,5,33,27,False,202201
202201070352239,33,b1d2,2.0,True,315.0,303.0,4rrk1/5ppp/p1pb4/1p1n4/3P2b1/1BPQB1Pq/PP3P1P/RN2R1K1,,,5,33,27,False,202201
202201070395915,33,b1d2,2.0,True,312.0,327.0,4rrk1/5ppp/p1pb4/1p1n4/3P2b1/1BPQB1Pq/PP3P1P/RN2R1K1,,,5,33,27,False,202201
202201048822952,33,b1d2,14.0,True,548.0,580.0,4rrk1/5ppp/p1pb4/1p1n4/3P2b1/1BPQB1Pq/PP3P1P/RN2R1K1,,,5,33,27,False,202201
202201077479257,33,b1d2,2.0,True,37.0,44.0,4rrk1/5ppp/p1pb4/1p1n4/3P2b1/1BPQB1Pq/PP3P1P/RN2R1K1,,,5,33,27,False,202201
202201077718033,33,b1d2,2.0,True,327.0,311.0,4rrk1/5ppp/p1pb4/1p1n4/3P2b1/1BPQB1Pq/PP3P1P/RN2R1K1,,,5,33,27,False,202201
202201077917008,33,b1d2,5.0,True,117.0,113.0,4rrk1/5ppp/p1pb4/1p1n4/3P2b1/1BPQB1Pq/PP3P1P/RN2R1K1,,,5,33,27,False,202201
